Day,Exam_Date,Rank,Registration_No,Roll_No,Marks,Percentile
Day 7 (25 June 2026),25 June 2026,1143,SG250106936,1010160270,42.4,83.57
Day 7 (25 June 2026),25 June 2026,4256,SG250107001,1010160271,17.85,38.79
Day 7 (25 June 2026),25 June 2026,1658,SG250107067,1010160274,36.8,76.17
Day 7 (25 June 2026),25 June 2026,4693,SG250107110,1010160275,15.14,32.51
Day 7 (25 June 2026),25 June 2026,4960,SG250107436,1010160276,13.19,28.67
Day 7 (25 June 2026),25 June 2026,784,SG250107646,1010160279,46.76,88.74
Day 7 (25 June 2026),25 June 2026,2545,SG250107647,1010160280,29.46,63.41
Day 7 (25 June 2026),25 June 2026,1289,SG250107671,1010160281,40.73,81.47
Day 7 (25 June 2026),25 June 2026,2777,SG250108101,1010160285,27.8,60.07
Day 7 (25 June 2026),25 June 2026,5361,SG250108131,1010160286,10.79,22.9
Day 7 (25 June 2026),25 June 2026,3044,SG250108132,1010160287,26.06,56.23
Day 7 (25 June 2026),25 June 2026,3494,SG250108260,1010160288,22.8,49.76
Day 7 (25 June 2026),25 June 2026,969,SG250108333,1010160289,44.44,86.08
Day 7 (25 June 2026),25 June 2026,4205,SG250108345,1010160290,18.42,39.53
Day 7 (25 June 2026),25 June 2026,2575,SG250108430,1010160292,29.41,62.97
Day 7 (25 June 2026),25 June 2026,3228,SG250108589,1010160293,24.49,53.58
Day 7 (25 June 2026),25 June 2026,2283,SG250108965,1010160297,31.44,67.17
Day 7 (25 June 2026),25 June 2026,6025,SG250108967,1010160298,6.43,13.35
Day 7 (25 June 2026),25 June 2026,419,SG250108981,1010160300,53.08,93.99
Day 7 (25 June 2026),25 June 2026,5938,SG250108986,1010160301,6.9,14.6
Day 7 (25 June 2026),25 June 2026,644,SG250109082,1010160302,49.07,90.75
Day 7 (25 June 2026),25 June 2026,6338,SG250109126,1010160304,3.85,8.85
Day 7 (25 June 2026),25 June 2026,597,SG250109710,1010160307,49.74,91.43
Day 7 (25 June 2026),25 June 2026,242,SG250109765,1010160310,57.72,96.53
Day 7 (25 June 2026),25 June 2026,3640,SG250109947,1010160312,21.81,47.66
Day 7 (25 June 2026),25 June 2026,5579,SG250110042,1010160313,9.47,19.76
Day 7 (25 June 2026),25 June 2026,5108,SG250110268,1010160316,12.22,26.54
Day 7 (25 June 2026),25 June 2026,6732,SG250110409,1010160317,-1.08,3.18
Day 7 (25 June 2026),25 June 2026,5181,SG250110878,1010160320,11.86,25.49
Day 7 (25 June 2026),25 June 2026,1743,SG250111060,1010160322,36.1,74.94
Day 7 (25 June 2026),25 June 2026,7,SG250111107,1010160323,76.0,99.91
Day 7 (25 June 2026),25 June 2026,4855,SG250111116,1010160324,14.13,30.18
Day 7 (25 June 2026),25 June 2026,2331,SG250111154,1010160325,31.1,66.48
Day 7 (25 June 2026),25 June 2026,5949,SG250111368,1010160329,6.89,14.44
Day 7 (25 June 2026),25 June 2026,4739,SG250111987,1010160334,14.82,31.85
Day 7 (25 June 2026),25 June 2026,5497,SG250112146,1010160335,9.84,20.94
Day 7 (25 June 2026),25 June 2026,6203,SG250112159,1010160336,4.88,10.79
Day 7 (25 June 2026),25 June 2026,2147,SG250112186,1010160337,32.46,69.13
